amfi_code,alpha,beta,alpha_rank
100016,0.035008020122776796,0.004843355020744264,39.0
100025,0.04333049544115674,-0.0034221767263396346,38.0
100033,0.26875229141391044,0.02409659525974328,7.0
101206,0.21465600456186984,-6.730818908692391e-05,13.0
101207,0.11024955018619279,-0.02358822885898298,27.0
101208,0.06085212112251844,0.00012587504716301363,33.0
102885,0.17094095164685527,-0.007555188223630707,19.0
102886,0.03194911544827528,-0.030680122817594857,40.0
102887,0.16106251568117863,0.011217405044515622,20.0
118632,0.2157852505239689,0.01615659515806825,12.0
118633,0.15755299358545502,-0.01608648663914648,22.0
118634,0.17568123177332165,0.01801235144289967,17.0
118635,0.15065271641931977,0.0047839346917738605,23.0
118636,0.051060743722708336,-0.0019685309804787507,35.0
119092,0.06701143712338227,0.016382992455286165,31.0
119093,0.08091817265695568,0.01583015501459122,28.0
119094,0.2627316899588547,-0.028728622961125532,9.0
119095,0.04875277581131942,-0.020067492788233516,37.0
119120,0.05606050670324881,-0.0003508255447426253,34.0
119551,0.23454374664870614,-0.025189498642974633,10.0
119552,0.20047597382446736,-0.018618719456253627,15.0
119598,0.303144867465332,-0.0035080093727523575,1.0
119599,0.049328065524053666,0.010072663601756614,36.0
120503,0.1755417235928387,0.0018104631368765268,18.0
120504,0.21609064980413412,-0.026139233988137504,11.0
120505,0.29508521272984833,-0.01745379302502904,3.0
120506,0.1600230125795732,0.027298914610087533,21.0
120507,0.06751273831066396,-0.00046135564097556954,30.0
120841,0.13270798966179026,-0.008324367260956683,25.0
120842,0.080481558797897,-0.013501034947778528,29.0
120843,0.27321125754709386,-0.004369886433639482,5.0
120844,0.0646054190026635,-0.00043750586414993285,32.0
125497,0.1776220377104348,0.008449617960571604,16.0
125498,0.11764356212760835,0.01812498906781678,26.0
148567,0.2691067256955176,0.010472156175636847,6.0
148568,0.20841945067406478,-0.00359652367980826,14.0
148569,0.2808029988427154,0.017641274616014262,4.0
149322,0.13307516786532644,-0.010532478260407641,24.0
149323,0.26573261554511396,0.0012594990971762044,8.0
149324,0.2958210599599487,0.03666692667132804,2.0
