amfi_code,max_drawdown,drawdown_rank
100016,-0.24734440880673303,34.0
100025,-0.04308263824636349,4.0
100033,-0.16217208574644848,20.0
101206,-0.11291596329323073,9.0
101207,-0.3544691649336603,38.0
101208,-0.0016224980244717857,3.0
102885,-0.1085986215250232,7.0
102886,-0.2800112356639287,35.0
102887,-0.21539827112383225,30.0
118632,-0.17414075086657232,23.0
118633,-0.18629743138595511,26.0
118634,-0.2334488614483311,32.0
118635,-0.1165062450540909,10.0
118636,-0.08316361763638702,6.0
119092,-0.1440161790933726,15.0
119093,-0.21751396370148224,31.0
119094,-0.20960883862039192,28.0
119095,-0.5167775370852656,39.0
119120,-0.04328728923970093,5.0
119551,-0.1501238549864533,17.0
119552,-0.11803493502764295,11.0
119598,-0.2870600572176455,36.0
119599,-0.5257422117012851,40.0
120503,-0.13897862823061635,14.0
120504,-0.12588275606922517,12.0
120505,-0.18188513572116294,25.0
120506,-0.1982565826298267,27.0
120507,-0.0009773140045925555,1.0
120841,-0.1757361416468729,24.0
120842,-0.24003511326274884,33.0
120843,-0.1297396816518679,13.0
120844,-0.0011629327956168556,2.0
125497,-0.15200013055606398,18.0
125498,-0.21117279560132118,29.0
148567,-0.11265729075028275,8.0
148568,-0.1527259422823477,19.0
148569,-0.1639674294693263,21.0
149322,-0.14844576917771746,16.0
149323,-0.17248105753451382,22.0
149324,-0.31171900300634214,37.0
